시간,영상 내용,한국어 스크립트,English Script
0:00-0:02,"유튜브 검색 결과 화면. 비슷한 재테크 영상들이 여러 개 보임. 저장할 것 많아 보이는 느낌.","볼 것은 많고,","So much to watch,"
0:02-0:04,"영상 썸네일/긴 글 목록을 빠르게 훑음. 무엇을 봤는지 헷갈리는 분위기.","남는 것은 적습니다.","but too little stays."
0:04-0:06,"하나의 긴 영상 또는 글을 열고 스크립트/본문이 길게 보임.","긴 콘텐츠는 저장해도,","Long content is easy to save,"
0:06-0:08,"텍스트 일부를 복사하거나 가져오는 장면.","나중엔 흐려지기 쉽죠.","but hard to retain."
0:08-0:10,"Brify 입력 화면에 스크립트 붙여넣기.","Brify에 넣으면,","Put it into Brify,"
0:10-0:12,"생성 버튼 클릭.","구조맵으로 바뀝니다.","and turn it into a Structure Map."
0:12-0:14,"맵이 펼쳐지며 전체 구조가 보임.","복잡한 정보의 흐름을","See how the ideas connect"
0:14-0:16,"전체 맵을 한눈에 보여주는 장면.","한눈에 볼 수 있어요.","at a glance."
0:16-0:18,"검색창에 키워드 입력 후 관련 노드 찾기.","필요한 내용을 빠르게 찾고,","Search what you need,"
0:18-0:20,"노드 하이라이트 또는 선택.","중요한 부분을 표시하고,","highlight what matters,"
0:20-0:22,"노드에 메모 입력.","그 자리에서 메모를 남기고,","leave notes right there,"
0:22-0:24,"맵 편집 또는 노드 정리.","내 방식으로 정리합니다.","and shape it your way."
0:24-0:26,"맵 목록 화면으로 이동. 태그들이 보임.","맵은 태그로 다시 모아보고,","Organize your maps by tags,"
0:26-0:28,"태그 필터링 후 모바일에서 같은 맵 확인.","모바일에서도 이어볼 수 있어요.","and keep going on mobile."
0:28-0:30,"핵심 장면 위에 브랜드 메시지. 로고 또는 제품 화면 안정적으로 마무리.","정보를 모으는 데서 끝내지 말고, 내 기준으로 정리하세요.","Don’t just collect information. Build your own standard."
