Category,Subcategory,Test Item,Platform,Theme,Language,Priority,Status,Notes
Core Flow,Landing,"Landing page loads successfully from the root URL",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Landing,"Hero section copy, CTA buttons, and major sections render without layout breakage",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Landing,"Primary CTA routes to the correct destination for signed-out users",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Landing,"Primary CTA routes to the correct destination for signed-in users",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Landing,"Demo CTA opens the demo flow correctly",All,Light/Dark,KO/EN,Medium,Not Started,
Core Flow,Authentication,"Login page loads successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Email login code request works and shows correct success/error states",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"OTP verification succeeds and redirects correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Google login starts correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Signup flow works with required policy agreement",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Signup complete page loads and required agreements can be submitted",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Authentication,"Signed-out access to protected pages redirects to login correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Video-to-map page loads successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Manual text input can generate a Structure Map",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"YouTube transcript import works end-to-end",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Metadata dialog saves correctly and continues the flow",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Generated Structure Map can be opened from the result state",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Creation,"Credit deduction occurs correctly after successful map generation",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Library,"My Maps page loads successfully",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Library,"Map list can be searched, filtered, and browsed",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Library,"Map detail/fullscreen opens from the list correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Map Library,"Map preview opens and closes correctly",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Core Flow,Sharing,"Share link generation works correctly",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Sharing,"Shared map can be opened from a public link",Desktop/Mobile,Light/Dark,KO/EN,High,Not Started,
Core Flow,Sharing,"Disabling a share link correctly revokes access",Desktop/Mobile,Light/Dark,KO/EN,Medium,Not Started,
Core Flow,Billing,"Billing page loads successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"Credit pack selection works correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"Toss KRW payment completes successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"LemonSqueezy USD payment completes successfully",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"Successful payment updates balance and payment history correctly",All,Light/Dark,KO/EN,High,Not Started,
Core Flow,Billing,"Payment receipt page shows correct details",All,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Global,"Header layout does not break on mobile",Mobile,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Global,"Header layout does not break on desktop",Desktop,Light/Dark,KO/EN,High,Not Started,
Responsive Layout,Global,"Footer layout does not break on mobile",Mobile,Light/Dark,KO/EN,Medium,Not Started,
